ticker,nome_ativo,setor,tipo_ativo,moeda,created_at,updated_at
JDJG6,Cerrado S.A.,IMOBILIARIO,ACAO,BRL,2022-08-19 16:01:12,2022-08-19 16:01:12
UVEY5,Solaris Recebiveis FII,VAREJO,FII,BRL,2022-02-15 10:30:24,2022-02-15 10:30:24
ERTC4,Bandeirante Group,ENERGIA,ACAO,BRL,2022-05-27 11:35:29,2022-05-27 11:35:29
DHRM5,Jandaia Industria,TECNOLOGIA,ACAO,USD,2022-12-23 17:52:45,2022-12-23 17:52:45
QEUC2,Quartzo Ampla ETF,INDUSTRIA,ETF,USD,2022-08-06 15:19:48,2022-08-06 15:19:48
IJJK3,Zenite Participacoes,IMOBILIARIO,ACAO,BRL,2022-06-22 16:38:39,2022-06-22 16:38:39
ENRZ2,Horizonte Shoppings FII,SAUDE,FII,BRL,2022-09-28 08:04:38,2022-09-28 08:04:38
PZUP8,Cambui Dividendos ETF,ENERGIA,ETF,BRL,2022-03-01 14:37:08,2022-03-01 14:37:08
LGKU6,Caravela Industria,ENERGIA,ACAO,BRL,2022-03-17 18:47:38,2022-03-17 18:47:38
KHGP6,Larus Logistica FII,INDUSTRIA,FII,BRL,2023-04-18 08:48:09,2023-04-18 08:48:09
GKQC5,Vertix Industria,SAUDE,ACAO,BRL,2022-09-11 10:09:13,2022-09-11 10:09:13
WXQM6,Larus S.A.,VAREJO,ACAO,BRL,2022-05-28 13:51:16,2022-05-28 13:51:16
WHMT3,Prisma Companhia,IMOBILIARIO,ACAO,BRL,2023-06-03 14:13:42,2023-06-03 14:13:42
WIPB2,Rubi Participacoes,SAUDE,ACAO,BRL,2022-03-27 09:29:41,2022-03-27 09:29:41
RYPL6,Tucano Recebiveis FII,CONSUMO,FII,BRL,2022-07-16 09:34:35,2022-07-16 09:34:35
UCHR6,Ita Industria,IMOBILIARIO,ACAO,USD,2022-08-07 13:51:11,2022-08-07 13:51:11
CQJZ4,Guanabara Recebiveis FII,TECNOLOGIA,FII,BRL,2022-08-08 13:13:45,2022-08-08 13:13:45
ICSU4,Serrano Industria,TECNOLOGIA,ACAO,BRL,2022-09-27 14:06:49,2022-09-27 14:06:49
QTHQ1,Meridiano Holding,TECNOLOGIA,ACAO,BRL,2023-02-10 08:08:44,2023-02-10 08:08:44
OVYL9,Ita Shoppings FII,FINANCEIRO,FII,BRL,2022-05-17 13:21:03,2022-05-17 13:21:03
DFGR7,Prisma Shoppings FII,ENERGIA,FII,BRL,2022-11-14 12:42:13,2022-11-14 12:42:13
SVOZ4,Buritis Holding,IMOBILIARIO,ACAO,BRL,2022-09-30 13:19:52,2022-09-30 13:19:52
HJRH5,Caravela Dividendos ETF,INDUSTRIA,ETF,BRL,2022-10-07 08:11:03,2022-10-07 08:11:03
IWAK1,Bandeirante Shoppings FII,ENERGIA,FII,BRL,2022-09-10 17:55:35,2022-09-10 17:55:35
ZYVN7,Marajo Shoppings FII,SAUDE,FII,BRL,2023-03-17 13:11:36,2023-03-17 13:11:36
GFDF2,Ipanema Participacoes,VAREJO,ACAO,BRL,2022-06-08 14:29:08,2022-06-08 14:29:08
YOWA1,Aurora Industria,VAREJO,ACAO,BRL,2023-01-22 15:58:18,2023-01-22 15:58:18
GULD2,Guanabara S.A.,FINANCEIRO,ACAO,BRL,2022-05-13 10:08:05,2022-05-13 10:08:05
KQEO3,Meridiano S.A.,VAREJO,ACAO,BRL,2022-10-08 13:48:07,2022-10-08 13:48:07
FRGH8,Tucano Recebiveis FII,VAREJO,FII,BRL,2022-02-09 10:55:52,2022-02-09 10:55:52
YYLA4,Colibri Ampla ETF,ENERGIA,ETF,BRL,2023-03-31 11:28:49,2023-03-31 11:28:49
LIEG8,Serrano Group,TECNOLOGIA,ACAO,BRL,2023-02-10 12:59:33,2023-02-10 12:59:33
TNHT4,Verano Industria,VAREJO,ACAO,BRL,2022-09-01 14:11:55,2022-09-01 14:11:55
QATW7,Marajo Holding,VAREJO,ACAO,BRL,2022-08-17 14:48:11,2022-08-17 14:48:11
OEQA8,Solaris S.A.,TECNOLOGIA,ACAO,USD,2023-01-19 14:28:01,2023-01-19 14:28:01
TVCE9,Meridiano S.A.,ENERGIA,ACAO,BRL,2023-03-08 14:49:25,2023-03-08 14:49:25
AYFQ2,Quartzo Holding,IMOBILIARIO,ACAO,BRL,2023-05-14 13:57:51,2023-05-14 13:57:51
TTHO3,Montara Companhia,VAREJO,ACAO,BRL,2022-04-11 15:41:05,2022-04-11 15:41:05
RMRT1,Guanabara Recebiveis FII,ENERGIA,FII,BRL,2023-02-21 09:08:56,2023-02-21 09:08:56
SUZL4,Ipanema S.A.,CONSUMO,ACAO,BRL,2023-05-01 14:06:38,2023-05-01 14:06:38
TBWG2,Verano Recebiveis FII,ENERGIA,FII,BRL,2022-12-02 16:28:32,2022-12-02 16:28:32
LCCH9,Cabral Participacoes,ENERGIA,ACAO,BRL,2022-11-09 08:34:16,2022-11-09 08:34:16
NPEM3,Palmares Renda Imobiliaria FII,ENERGIA,FII,BRL,2022-08-25 10:16:33,2022-08-25 10:16:33
RDOA3,Safira S.A.,TECNOLOGIA,ACAO,BRL,2023-04-30 11:23:42,2023-04-30 11:23:42
DGBT6,Araucaria Recebiveis FII,SAUDE,FII,BRL,2023-01-27 18:39:33,2023-01-27 18:39:33
RIET5,Larus Dividendos ETF,CONSUMO,ETF,BRL,2022-03-06 09:53:15,2022-03-06 09:53:15
JUDG8,Verano Logistica FII,ENERGIA,FII,BRL,2022-11-19 18:30:59,2022-11-19 18:30:59
HVEX2,Delta Holding,VAREJO,ACAO,BRL,2022-11-08 11:56:38,2022-11-08 11:56:38
IZTY4,Palmares S.A.,CONSUMO,ACAO,BRL,2022-03-08 15:20:01,2022-03-08 15:20:01
XPVA7,Duna Companhia,VAREJO,ACAO,USD,2022-03-31 08:34:25,2022-03-31 08:34:25
ZAAS7,Meridiano Companhia,SAUDE,ACAO,USD,2022-03-09 12:41:29,2022-03-09 12:41:29
MOLF3,Horizonte Industria,CONSUMO,ACAO,USD,2022-06-15 14:26:45,2022-06-15 14:26:45
WMQZ6,Horizonte Recebiveis FII,ENERGIA,FII,BRL,2023-06-20 15:53:22,2023-06-20 15:53:22
XOVY4,Buritis Recebiveis FII,TECNOLOGIA,FII,BRL,2022-09-20 15:56:11,2022-09-20 15:56:11
XAVL3,Delta Global ETF,IMOBILIARIO,ETF,BRL,2022-08-16 11:44:44,2022-08-16 11:44:44
JIPA6,Tijuca Industria,FINANCEIRO,ACAO,BRL,2022-05-10 08:32:43,2022-05-10 08:32:43
MCHX2,Rubi Indice ETF,TECNOLOGIA,ETF,BRL,2023-05-18 10:00:12,2023-05-18 10:00:12
FYZB6,Marajo Participacoes,SAUDE,ACAO,BRL,2022-02-08 15:56:16,2022-02-08 15:56:16
NYGT6,Cambui Companhia,VAREJO,ACAO,BRL,2022-12-26 09:46:34,2022-12-26 09:46:34
BOCS8,Bandeirante Industria,FINANCEIRO,ACAO,USD,2023-06-20 16:22:42,2023-06-20 16:22:42
QTDZ2,Solaris Holding,IMOBILIARIO,ACAO,BRL,2022-01-20 11:56:10,2022-01-20 11:56:10
SRDU1,Safira Logistica FII,INDUSTRIA,FII,BRL,2022-03-02 17:58:36,2022-03-02 17:58:36
UYFJ9,Aurora Companhia,CONSUMO,ACAO,BRL,2023-02-15 11:58:10,2023-02-15 11:58:10
YRWH3,Larus Ampla ETF,ENERGIA,ETF,BRL,2022-08-01 18:29:26,2022-08-01 18:29:26
XLZM9,Piata Participacoes,TECNOLOGIA,ACAO,BRL,2023-05-09 12:47:21,2023-05-09 12:47:21
VLEB3,Safira Industria,IMOBILIARIO,ACAO,USD,2023-06-16 15:33:12,2023-06-16 15:33:12
ECQD7,Oceano Group,FINANCEIRO,ACAO,BRL,2022-12-24 11:19:18,2022-12-24 11:19:18
QHFL8,Cambui Ampla ETF,VAREJO,ETF,BRL,2023-06-17 10:30:20,2023-06-17 10:30:20
PSEN6,Palmares Ampla ETF,VAREJO,ETF,BRL,2022-05-31 18:02:41,2022-05-31 18:02:41
NHYK8,Larus Ampla ETF,VAREJO,ETF,USD,2022-04-21 13:32:37,2022-04-21 13:32:37
YFAH5,Bandeirante Indice ETF,SAUDE,ETF,BRL,2023-05-06 08:05:43,2023-05-06 08:05:43
OXVD8,Araucaria Logistica FII,CONSUMO,FII,BRL,2022-02-01 10:42:57,2022-02-01 10:42:57
TXHR8,Montara Recebiveis FII,ENERGIA,FII,BRL,2022-03-29 10:16:39,2022-03-29 10:16:39
JJVW6,Cerrado Group,FINANCEIRO,ACAO,BRL,2022-06-21 12:08:01,2022-06-21 12:08:01
NAOF3,Everest Companhia,TECNOLOGIA,ACAO,BRL,2022-08-27 12:37:37,2022-08-27 12:37:37
WXFC8,Zenite Group,CONSUMO,ACAO,BRL,2023-01-27 08:19:15,2023-01-27 08:19:15
HCZM2,Oceano Companhia,VAREJO,ACAO,USD,2022-11-20 16:02:55,2022-11-20 16:02:55
ACSV1,Cerrado Renda Imobiliaria FII,IMOBILIARIO,FII,BRL,2023-01-03 08:36:57,2023-01-03 08:36:57
UFIU3,Tijuca Shoppings FII,SAUDE,FII,BRL,2022-05-03 08:02:52,2022-05-03 08:02:52
FIUW1,Serrano S.A.,CONSUMO,ACAO,BRL,2023-02-07 13:09:16,2023-02-07 13:09:16
LQML9,Verano Industria,SAUDE,ACAO,BRL,2023-03-08 13:20:37,2023-03-08 13:20:37
RFNS7,Solaris Shoppings FII,VAREJO,FII,BRL,2022-10-01 15:35:45,2022-10-01 15:35:45
RHXV4,Cambui Holding,SAUDE,ACAO,BRL,2023-02-27 18:08:37,2023-02-27 18:08:37
BXFJ9,Piata Ampla ETF,IMOBILIARIO,ETF,BRL,2023-02-09 15:52:02,2023-02-09 15:52:02
QYBV3,Colibri Shoppings FII,IMOBILIARIO,FII,BRL,2022-01-21 16:34:15,2022-01-21 16:34:15
AAWB3,Cambui S.A.,ENERGIA,ACAO,USD,2023-06-02 08:35:08,2023-06-02 08:35:08
NUJZ2,Ipanema Group,INDUSTRIA,ACAO,BRL,2022-11-25 08:07:11,2022-11-25 08:07:11
OVUQ2,Delta Group,FINANCEIRO,ACAO,BRL,2022-12-15 17:52:23,2022-12-15 17:52:23
DSFC9,Umbu S.A.,ENERGIA,ACAO,USD,2022-11-17 16:40:14,2022-11-17 16:40:14
GAKD5,Duna Ampla ETF,TECNOLOGIA,ETF,USD,2022-08-24 17:39:43,2022-08-24 17:39:43
YCCK8,Guanabara Dividendos ETF,VAREJO,ETF,USD,2023-02-06 08:19:42,2023-02-06 08:19:42
BGNM6,Guara Shoppings FII,IMOBILIARIO,FII,BRL,2023-02-18 16:04:41,2023-02-18 16:04:41
KFSY2,Colibri Global ETF,IMOBILIARIO,ETF,BRL,2022-11-13 09:12:44,2022-11-13 09:12:44
PBZM6,Palmares Companhia,SAUDE,ACAO,BRL,2022-09-23 18:45:56,2022-09-23 18:45:56
BSDJ7,Piata Group,IMOBILIARIO,ACAO,USD,2023-02-04 15:25:49,2023-02-04 15:25:49
DMTZ8,Araucaria Global ETF,SAUDE,ETF,BRL,2023-01-16 17:33:48,2023-01-16 17:33:48
HCLJ8,Serrano Ampla ETF,FINANCEIRO,ETF,BRL,2022-12-02 08:33:45,2022-12-02 08:33:45
NQYT3,Everest Participacoes,CONSUMO,ACAO,BRL,2022-06-17 17:53:50,2022-06-17 17:53:50
