id_conta,id_cliente,perfil_investidor,data_abertura,created_at,updated_at
1001,5001,CONSERVADOR,2025-07-26,2025-07-26 12:20:46,2025-07-26 12:20:46
1002,5002,CONSERVADOR,2026-04-06,2026-04-06 15:09:12,2026-04-06 15:09:12
1003,5003,CONSERVADOR,2023-06-19,2023-06-19 11:31:16,2023-06-19 11:31:16
1004,5004,ARROJADO,2025-01-05,2025-01-05 17:23:38,2025-01-05 17:23:38
1005,5005,ARROJADO,2025-08-10,2025-08-10 09:50:05,2025-08-10 09:50:05
1006,5006,MODERADO,2024-12-21,2024-12-21 10:27:52,2024-12-21 10:27:52
1007,5007,CONSERVADOR,2023-12-13,2023-12-13 16:07:16,2023-12-13 16:07:16
1008,5008,MODERADO,2023-03-14,2023-03-14 15:14:17,2023-03-14 15:14:17
1009,5009,CONSERVADOR,2026-03-29,2026-03-29 16:51:06,2026-03-29 16:51:06
1010,5010,MODERADO,2023-10-22,2023-10-22 08:57:01,2023-10-22 08:57:01
1011,5011,MODERADO,2023-06-17,2023-06-17 14:02:46,2023-06-17 14:02:46
1012,5012,MODERADO,2025-12-22,2025-12-22 14:14:00,2025-12-22 14:14:00
1013,5013,CONSERVADOR,2025-04-11,2025-04-11 09:35:32,2025-04-11 09:35:32
1014,5014,MODERADO,2024-06-13,2024-06-13 13:56:20,2024-06-13 13:56:20
1015,5015,MODERADO,2024-12-28,2024-12-28 09:01:15,2024-12-28 09:01:15
1016,5015,CONSERVADOR,2024-05-06,2024-05-06 16:34:45,2024-05-06 16:34:45
1017,5016,ARROJADO,2024-12-10,2024-12-10 08:53:41,2024-12-10 08:53:41
1018,5017,CONSERVADOR,2025-10-01,2025-10-01 14:36:49,2025-10-01 14:36:49
1019,5018,CONSERVADOR,2023-10-12,2023-10-12 17:28:00,2023-10-12 17:28:00
1020,5019,ARROJADO,2023-06-06,2023-06-06 11:47:11,2023-06-06 11:47:11
1021,5020,CONSERVADOR,2025-05-03,2025-05-03 13:47:50,2025-05-03 13:47:50
1022,5020,CONSERVADOR,2026-01-31,2026-01-31 13:49:08,2026-01-31 13:49:08
1023,5021,CONSERVADOR,2024-09-05,2024-09-05 12:46:08,2024-09-05 12:46:08
1024,5022,CONSERVADOR,2024-10-24,2024-10-24 13:36:42,2024-10-24 13:36:42
1025,5023,MODERADO,2024-09-30,2024-09-30 17:59:33,2024-09-30 17:59:33
1026,5024,MODERADO,2025-08-18,2025-08-18 10:19:13,2025-08-18 10:19:13
1027,5025,MODERADO,2026-03-26,2026-03-26 08:32:50,2026-03-26 08:32:50
1028,5025,ARROJADO,2025-04-23,2025-04-23 17:25:06,2025-04-23 17:25:06
1029,5026,CONSERVADOR,2023-03-16,2023-03-16 09:42:35,2023-03-16 09:42:35
1030,5027,MODERADO,2025-06-06,2025-06-06 18:23:58,2025-06-06 18:23:58
1031,5028,ARROJADO,2024-04-15,2024-04-15 10:55:13,2024-04-15 10:55:13
1032,5029,ARROJADO,2025-03-29,2025-03-29 11:22:34,2025-03-29 11:22:34
1033,5029,ARROJADO,2023-04-23,2023-04-23 17:01:36,2023-04-23 17:01:36
1034,5030,ARROJADO,2026-06-16,2026-06-16 17:29:39,2026-06-16 17:29:39
1035,5031,ARROJADO,2026-07-03,2026-07-03 18:18:39,2026-07-03 18:18:39
1036,5032,MODERADO,2023-12-15,2023-12-15 09:28:44,2023-12-15 09:28:44
1037,5033,CONSERVADOR,2025-09-20,2025-09-20 09:59:47,2025-09-20 09:59:47
1038,5034,MODERADO,2023-12-16,2023-12-16 09:12:10,2023-12-16 09:12:10
1039,5035,ARROJADO,2025-05-05,2025-05-05 14:54:41,2025-05-05 14:54:41
1040,5036,CONSERVADOR,2023-06-04,2023-06-04 10:29:32,2023-06-04 10:29:32
1041,5037,MODERADO,2025-11-09,2025-11-09 15:43:11,2025-11-09 15:43:11
1042,5038,CONSERVADOR,2024-06-04,2024-06-04 09:33:26,2024-06-04 09:33:26
1043,5039,CONSERVADOR,2023-02-16,2023-02-16 12:11:20,2023-02-16 12:11:20
1044,5040,CONSERVADOR,2025-05-23,2025-05-23 13:28:57,2025-05-23 13:28:57
1045,5041,CONSERVADOR,2024-12-07,2024-12-07 10:56:01,2024-12-07 10:56:01
1046,5042,MODERADO,2025-07-09,2025-07-09 11:09:00,2025-07-09 11:09:00
1047,5043,MODERADO,2025-11-04,2025-11-04 18:25:15,2025-11-04 18:25:15
1048,5044,MODERADO,2026-07-12,2026-07-12 14:53:49,2026-07-12 14:53:49
1049,5045,MODERADO,2023-09-27,2023-09-27 17:31:08,2023-09-27 17:31:08
1050,5046,MODERADO,2026-02-24,2026-02-24 15:38:42,2026-02-24 15:38:42
1051,5047,MODERADO,2025-10-27,2025-10-27 13:15:33,2025-10-27 13:15:33
1052,5048,MODERADO,2024-09-19,2024-09-19 10:11:21,2024-09-19 10:11:21
1053,5049,CONSERVADOR,2023-07-05,2023-07-05 13:50:03,2023-07-05 13:50:03
1054,5049,ARROJADO,2023-04-26,2023-04-26 10:52:19,2023-04-26 10:52:19
1055,5050,MODERADO,2025-04-20,2025-04-20 12:26:35,2025-04-20 12:26:35
1056,5050,MODERADO,2023-07-21,2023-07-21 11:05:39,2023-07-21 11:05:39
1057,5051,MODERADO,2023-06-10,2023-06-10 17:01:38,2023-06-10 17:01:38
1058,5052,MODERADO,2024-09-09,2024-09-09 09:03:13,2024-09-09 09:03:13
1059,5052,MODERADO,2025-06-26,2025-06-26 17:25:22,2025-06-26 17:25:22
1060,5053,MODERADO,2026-07-29,2026-07-29 11:05:17,2026-07-29 11:05:17
1061,5054,CONSERVADOR,2024-01-27,2024-01-27 09:27:37,2024-01-27 09:27:37
1062,5055,MODERADO,2023-10-06,2023-10-06 10:44:58,2023-10-06 10:44:58
1063,5055,CONSERVADOR,2023-10-27,2023-10-27 17:56:09,2023-10-27 17:56:09
1064,5056,MODERADO,2025-05-30,2025-05-30 15:58:47,2025-05-30 15:58:47
1065,5057,CONSERVADOR,2025-12-19,2025-12-19 17:21:18,2025-12-19 17:21:18
1066,5058,MODERADO,2023-03-25,2023-03-25 17:55:34,2023-03-25 17:55:34
1067,5059,MODERADO,2025-08-13,2025-08-13 16:26:39,2025-08-13 16:26:39
1068,5060,ARROJADO,2025-09-14,2025-09-14 15:02:13,2025-09-14 15:02:13
1069,5061,ARROJADO,2026-01-27,2026-01-27 16:35:03,2026-01-27 16:35:03
1070,5062,CONSERVADOR,2023-12-04,2023-12-04 17:17:01,2023-12-04 17:17:01
1071,5063,CONSERVADOR,2023-08-16,2023-08-16 18:01:42,2023-08-16 18:01:42
1072,5064,MODERADO,2024-04-19,2024-04-19 11:27:27,2024-04-19 11:27:27
1073,5065,CONSERVADOR,2023-08-25,2023-08-25 13:36:02,2023-08-25 13:36:02
1074,5066,CONSERVADOR,2025-05-24,2025-05-24 16:20:35,2025-05-24 16:20:35
1075,5067,CONSERVADOR,2024-01-25,2024-01-25 15:58:10,2024-01-25 15:58:10
1076,5068,MODERADO,2026-05-20,2026-05-20 11:46:44,2026-05-20 11:46:44
1077,5069,ARROJADO,2026-05-31,2026-05-31 11:53:11,2026-05-31 11:53:11
1078,5070,CONSERVADOR,2023-07-12,2023-07-12 13:05:02,2023-07-12 13:05:02
1079,5071,CONSERVADOR,2024-06-26,2024-06-26 17:40:28,2024-06-26 17:40:28
1080,5071,ARROJADO,2025-01-31,2025-01-31 18:15:40,2025-01-31 18:15:40
1081,5072,ARROJADO,2024-11-04,2024-11-04 10:00:40,2024-11-04 10:00:40
1082,5073,MODERADO,2023-03-16,2023-03-16 13:15:27,2023-03-16 13:15:27
1083,5074,MODERADO,2023-08-14,2023-08-14 18:06:58,2023-08-14 18:06:58
1084,5075,CONSERVADOR,2024-04-27,2024-04-27 09:55:28,2024-04-27 09:55:28
1085,5076,CONSERVADOR,2024-07-19,2024-07-19 14:44:13,2024-07-19 14:44:13
1086,5077,ARROJADO,2025-02-17,2025-02-17 17:37:56,2025-02-17 17:37:56
1087,5077,ARROJADO,2025-06-22,2025-06-22 18:21:14,2025-06-22 18:21:14
