id_transacao,id_conta,ticker,tipo_operacao,quantidade,preco_unitario,taxa_corretagem,data_operacao,created_at,updated_at
208876,1637,WXFC8,COMPRA,90,94.7833,11.3046,2026-08-06 16:41:22,2026-08-06 16:41:24,2026-08-06 16:41:24
208877,2009,YCCK8,COMPRA,310,426.4053,1.3290,2026-08-06 12:49:18,2026-08-06 12:49:19,2026-08-06 12:49:19
208878,3306,GFDF2,COMPRA,95,104.2703,6.8830,2026-08-06 12:50:13,2026-08-06 12:50:15,2026-08-06 12:50:15
208879,3511,DMTZ8,COMPRA,309,176.9691,2.0185,2026-08-06 10:27:10,2026-08-06 10:27:11,2026-08-06 10:27:11
208880,1380,TNHT4,COMPRA,410,99.6282,11.6593,2026-08-06 15:54:51,2026-08-06 15:54:54,2026-08-06 15:54:54
208881,1557,JJVW6,COMPRA,490,143.4823,7.2181,2026-08-06 14:57:30,2026-08-06 14:57:32,2026-08-06 14:57:32
208882,3164,AAUA7,COMPRA,25,150.1273,1.0203,2026-08-06 11:38:41,2026-08-06 11:38:44,2026-08-06 11:38:44
208883,2385,GKQC5,COMPRA,149,158.8829,12.7956,2026-08-06 16:19:40,2026-08-06 16:19:41,2026-08-06 16:19:41
208884,2453,PZUP8,COMPRA,390,137.2926,4.1868,2026-08-06 15:24:57,2026-08-06 15:24:57,2026-08-06 15:24:57
208885,3147,PSEN6,COMPRA,345,223.3785,6.4196,2026-08-06 10:03:52,2026-08-06 10:03:52,2026-08-06 10:03:52
208886,1565,WIPB2,COMPRA,480,102.0027,5.4757,2026-08-06 12:25:46,2026-08-06 12:25:49,2026-08-06 12:25:49
208887,2686,SUZL4,COMPRA,435,131.2967,0.1851,2026-08-06 17:13:13,2026-08-06 17:13:16,2026-08-06 17:13:16
208888,3222,FIUW1,COMPRA,235,126.7699,3.5295,2026-08-06 10:24:53,2026-08-06 10:24:55,2026-08-06 10:24:55
208889,3142,QQQS1,COMPRA,48,22.5476,8.6622,2026-08-06 10:23:35,2026-08-06 10:23:37,2026-08-06 10:23:37
208890,1402,NQYT3,COMPRA,295,75.1019,10.0168,2026-08-06 15:52:08,2026-08-06 15:52:11,2026-08-06 15:52:11
208891,1844,RDOA3,COMPRA,60,81.8341,1.6196,2026-08-06 11:41:16,2026-08-06 11:41:18,2026-08-06 11:41:18
208892,1251,RMRT1,COMPRA,380,93.5847,5.9548,2026-08-06 17:15:00,2026-08-06 17:15:03,2026-08-06 17:15:03
208893,3004,DGBT6,COMPRA,290,89.7918,2.3665,2026-08-06 14:52:49,2026-08-06 14:52:51,2026-08-06 14:52:51
208894,2197,LGKU6,COMPRA,280,61.3793,4.4714,2026-08-06 13:47:40,2026-08-06 13:47:43,2026-08-06 13:47:43
208895,1837,JDJG6,COMPRA,90,71.3185,9.6888,2026-08-06 13:20:29,2026-08-06 13:20:31,2026-08-06 13:20:31
208896,1335,ZFBT3,COMPRA,285,91.3742,5.1888,2026-08-06 10:47:44,2026-08-06 10:47:44,2026-08-06 10:47:44
208897,1366,ACSV1,COMPRA,210,79.9142,9.3262,2026-08-06 11:22:49,2026-08-06 11:22:51,2026-08-06 11:22:51
208898,2028,LIEG8,COMPRA,318,117.7351,11.8169,2026-08-06 15:05:01,2026-08-06 15:05:02,2026-08-06 15:05:02
208899,2652,UQIQ7,COMPRA,170,100.6778,7.7034,2026-08-06 11:30:11,2026-08-06 11:30:12,2026-08-06 11:30:12
208900,2119,ECQD7,COMPRA,410,114.3882,8.6542,2026-08-06 12:15:38,2026-08-06 12:15:41,2026-08-06 12:15:41
208901,2652,LGKU6,COMPRA,205,92.9281,12.3247,2026-08-06 17:07:53,2026-08-06 17:07:55,2026-08-06 17:07:55
208902,1043,YFAH5,COMPRA,445,134.4887,1.8514,2026-08-06 15:50:40,2026-08-06 15:50:43,2026-08-06 15:50:43
208903,2356,XLZM9,COMPRA,30,43.0697,12.6806,2026-08-06 16:02:28,2026-08-06 16:02:30,2026-08-06 16:02:30
208904,3002,NHYK8,COMPRA,85,65.1702,8.4844,2026-08-06 13:05:50,2026-08-06 13:05:52,2026-08-06 13:05:52
208905,1638,IZTY4,COMPRA,405,29.0749,8.9630,2026-08-06 13:15:01,2026-08-06 13:15:02,2026-08-06 13:15:02
208906,3444,TNHT4,COMPRA,240,150.6659,9.0420,2026-08-06 17:25:50,2026-08-06 17:25:53,2026-08-06 17:25:53
208907,1375,UFIU3,COMPRA,130,107.9651,2.9791,2026-08-06 14:46:22,2026-08-06 14:46:22,2026-08-06 14:46:22
208908,1769,HVEX2,COMPRA,225,109.6983,7.5669,2026-08-06 12:02:14,2026-08-06 12:02:15,2026-08-06 12:02:15
208909,3086,BXFJ9,COMPRA,305,173.9422,12.2800,2026-08-06 14:23:36,2026-08-06 14:23:37,2026-08-06 14:23:37
208910,3226,EEYY9,COMPRA,195,170.7904,12.4503,2026-08-06 14:54:58,2026-08-06 14:55:01,2026-08-06 14:55:01
208911,1834,UVEY5,COMPRA,335,99.1468,1.4083,2026-08-06 11:08:22,2026-08-06 11:08:24,2026-08-06 11:08:24
208912,3030,BXFJ9,COMPRA,405,175.7951,7.1159,2026-08-06 17:23:59,2026-08-06 17:24:01,2026-08-06 17:24:01
208913,3026,PBZM6,COMPRA,435,47.7108,9.0938,2026-08-06 11:24:29,2026-08-06 11:24:32,2026-08-06 11:24:32
208914,2143,PSEN6,COMPRA,275,202.0065,0.9543,2026-08-06 15:20:36,2026-08-06 15:20:38,2026-08-06 15:20:38
208915,1923,IPXK2,COMPRA,280,283.3230,10.6063,2026-08-06 11:20:55,2026-08-06 11:20:55,2026-08-06 11:20:55
208916,3374,RFNS7,COMPRA,340,107.7390,1.3735,2026-08-06 14:33:06,2026-08-06 14:33:09,2026-08-06 14:33:09
208917,2754,ENRZ2,COMPRA,250,115.4966,11.8793,2026-08-06 11:33:17,2026-08-06 11:33:19,2026-08-06 11:33:19
208918,2403,XTVW5,COMPRA,195,117.2392,3.0706,2026-08-06 17:30:09,2026-08-06 17:30:11,2026-08-06 17:30:11
208919,2866,YFAH5,COMPRA,280,154.3045,6.4649,2026-08-06 14:58:03,2026-08-06 14:58:03,2026-08-06 14:58:03
208920,2142,NPEM3,COMPRA,115,109.4899,0.8752,2026-08-06 10:50:30,2026-08-06 10:50:32,2026-08-06 10:50:32
208921,3466,ACSV1,COMPRA,350,96.7621,5.2702,2026-08-06 16:47:42,2026-08-06 16:47:42,2026-08-06 16:47:42
208922,1020,QATW7,COMPRA,155,45.5809,2.7975,2026-08-06 16:06:39,2026-08-06 16:06:42,2026-08-06 16:06:42
208923,1412,PZUP8,COMPRA,170,170.2263,1.4251,2026-08-06 16:45:21,2026-08-06 16:45:21,2026-08-06 16:45:21
