Id Conta;Mês Referência;Meta Aporte;Status;Responsável
3245;11/2025;3.500,00;ativo;Analista 1
2987;ago/2025;8.000,00; A ;Analista 8
3134;dez/2025;500,00; A ;Analista 5
2023;ago/2025;6.000,00;ATIVO ;Analista 8
1135;abr/2026;12.000,00;ativo;Analista 2
2192;dez/2025;2.500,00;Ativo;Analista 2
1288;01/2025;6.000,00;ATIVO ;Analista 5
2716;07/2026;12.500,00;ATIVO ;Analista 6
1184;nov/2025;12.000,00; A ;Analista 7
1102;abr/2026;7.500,00; Ativo;Analista 2
1851;set/2025;12.000,00;A;Analista 6
3277;2025-01;; ativo ;Analista 2
1973;04/2025;2.500,00;ATIVO;Analista 6
2690;02/2025;8.000,00;ATIVO ;Analista 6
2128;2026-09;5.500,00; A ;Analista 1
2083;set/2026;6.000,00;ativo;Analista 8
2193;2025-12;2.500,00;A;Analista 8
2641;09/2025;2.000,00;ativo;Analista 6
2916;2026-02;12.000,00; Ativo;Analista 2
1652;jul/2025;500,00;ativo;Analista 3
3081;dez/2026;12.500,00;ativo;Analista 3
1450;2025-02;11.000,00;Ativo;Analista 7
3207;05/2025;12.000,00; A ;Analista 4
2768;11/2026;;ativo;Analista 3
2908;2025-11;500,00;ATIVO ;Analista 6
1601;2026-03;2.500,00;A;Analista 4
2540;2026-08;7.500,00;ativo;Analista 6
2664;jul/2026;500,00; A ;Analista 5
2081;set/2026;10.500,00;ATIVO;Analista 4
1132;dez/2026;1.500,00; ativo ;Analista 7

1092;2026-05;10.500,00;ATIVO ;Analista 3
1712;2025-01;10.000,00;ATIVO;Analista 8

1150;2026-11;5.500,00;ATIVO ;Analista 1
2622;fev/2026;2.000,00;Ativo;Analista 7
1174;2026-12;5.500,00; A ;Analista 3
2407;abr/2026;11.500,00;ATIVO ;Analista 8
3492;nov/2025;1.000,00;ATIVO;Analista 4
2874;2026-04;7.500,00;ATIVO ;Analista 8
99999;2025-11;5.000,00;Ativo;Analista 2
1597;mai/2026;5.500,00; A ;Analista 1
3113;11/2025;9.000,00; ativo ;Analista 2
2796;mai/2025;5.000,00;Ativo;Analista 2
2355;09/2026;500,00; A ;Analista 4
3372;06/2026;11.000,00;A;Analista 1
1933;set/2025;9.500,00;ativo;Analista 3
2390;ago/2026;4.000,00;ativo;Analista 1
2218;mar/2026;3.000,00;ativo;Analista 2
2814;mar/2025;7.500,00;Ativo;Analista 4
2166;2026-02;3.000,00;ATIVO ;Analista 4
1293;jun/2025;1.000,00; ativo ;Analista 8
2878;abr/2025;500,00;Ativo;Analista 5
1730;set/2025;2.500,00;ATIVO;Analista 3
2108;mar/2026;7.500,00;Ativo;Analista 5
1508;08/2025;11.000,00; Ativo;Analista 7
2115;jul/2026;10.500,00;Ativo;Analista 8
2744;2025-02;3.000,00; ativo ;Analista 8
1648;2025-03;; ativo ;Analista 3
1244;07/2025;12.500,00;A;Analista 6
88888;jun/2025;6.000,00;ATIVO ;Analista 2
1866;2026-03;8.500,00;ativo;Analista 2
